Code,Server,Service Tier,CMS,Branch,Primary Domain,Admin Link,Web Dir
SAP-Lib,thalos,,3,dalaran,stanthonyliberalks.com,https://sap-lib.solutiosoftware.com/administrator,dodgecity/sap-lib
SCB-KC,wold,,3,,scb-kc.solutiosoftware.com,https://scb-kc.solutiosoftware.com/administrator,kcm/scb-kc
Schulte,zelda,,3,dalaran,stpeterschulte.com,https://schulte.solutiosoftware.com/administrator,wichita/schulte
SCSV-Rock,thalos,,3,dalaran,rcvparish.com,https://scsv-rock.solutiosoftware.com/administrator,brooklyn/scsv-rock
SCSV-West,yale,,3,dalaran,www.saintclarewesterly.site,https://scsv-west.solutiosoftware.com/administrator,providence/scsv-west
SD-Cemetery,wold,Small,3,dalaran,holycrosssd.org,https://sd-cemetery.solutiosoftware.com/administrator,sandiego/sd-cemetery
SD-Man,zelda,,3,dalaran,sevendolors.com,https://sd-man.solutiosoftware.com/administrator,salina/sd-man
SDS,moria2,Small,3,crystalsong,www.sdata.com,https://sds.solutiosoftware.com/administrator,nra/sds
SEAS,thalos,,3,dalaran,www.seaswichita.com,https://seas.solutiosoftware.com/administrator,wichita/seas
SEAS-FC,valinor,,3,dalaran,seas-parish.org,https://seas-fc.solutiosoftware.com/administrator,denver/seas-fc
SEAS-Ontario,wold,,3,dalaran,seascc-ont.org,https://seas-ontario.solutiosoftware.com/administrator,sanbernardino/seas-ontario
SEAS-PSL,thalos,,3,dalaran,seascatholicparish.org,https://seas-psl.solutiosoftware.com/administrator,palmbeach/seas-psl
SEAS-Ronkonkoma,yale,,3,dalaran,steas.org,https://seas-ronkonkoma.solutiosoftware.com/administrator,rc/seas-ronkonkoma
SEAS-Salem,thalos,,3,dalaran,avilaseton.org,https://seas-salem.solutiosoftware.com/administrator,belleville/seas-salem
SEAS-Salina,valinor,,3,dalaran,stesalina.org,https://seas-salina.solutiosoftware.com/administrator,salina/seas-salina
SEAS-Sun,wold,,3,dalaran,www.sescc.org,https://seas-sun.solutiosoftware.com/administrator,phoenix/seas-sun
SEAS-Whiting,wold,,3,dalaran,seaswhiting.org,https://seas-whiting.solutiosoftware.com/administrator,trenton/seas-whiting
Serra-KC,thalos,Tiny,3,dalaran,www.serrakck.org,https://serra-kc.solutiosoftware.com/administrator,nra/serra-kc
SFA-Concord,valinor,,3,dalaran,sfaconcord.com,https://sfa-concord.solutiosoftware.com/administrator,oakland/sfa-concord
SFA-Lincoln,yale,,3,dalaran,www.stfrancislincoln.org,https://sfa-lincoln.solutiosoftware.com/administrator,lincoln/sfa-lincoln
SFA-Springs,wold,,3,dalaran,www.stfranciscs.org,https://sfa-springs.solutiosoftware.com/administrator,coloradosprings/sfa-springs
SFX-Burl,moria2,Tiny,3,crystalsong,st-francis-joseph-patrick-teresa.org,https://sfx-burl.solutiosoftware.com/administrator,kck/sfx-burl
SFX-Enid,underhill,,3,dalaran,stfrancisenid.com,https://sfx-enid.solutiosoftware.com/administrator,okc/sfx-enid
SGM-PJS,zelda,,3,dalaran,www.stgmajella.org,https://sgm-pjs.solutiosoftware.com/administrator,rc/sgm-pjs
SGNA,moria2,Tiny,3,crystalsong,georgiasgna.org,https://sgna.solutiosoftware.com/administrator,nra/sgna
SH-Baileyville,thalos,Tiny,3,dalaran,shbaileyville.com,https://sh-baileyville.solutiosoftware.com/administrator,kck/sh-baileyville
SH-Brevard,valinor,,3,dalaran,www.sacredheartbrevard.org,https://sh-brevard.solutiosoftware.com/administrator,charlotte/sh-brevard
SH-Colby,thalos,,3,dalaran,sacredheartcolby.com,https://sh-colby.solutiosoftware.com/administrator,salina/sh-colby
SH-Cut,wold,,3,dalaran,www.sacredheartolgc.org,https://sh-cut.solutiosoftware.com/administrator,rc/sh-cut
SH-Emporia,wold,,3,dalaran,shemporia.org,https://sh-emporia.solutiosoftware.com/administrator,kck/sh-emporia
SH-Groton,wold,,3,dalaran,www.sacredheartgroton.org,https://sh-groton.solutiosoftware.com/administrator,norwich/sh-groton
SH-Lincoln,valinor,,3,dalaran,sacredheartlincoln.org,https://sh-lincoln.solutiosoftware.com/administrator,lincoln/sh-lincoln
SH-Merrick,zelda,,3,dalaran,www.sacredheartnm.org,https://sh-merrick.solutiosoftware.com/administrator,rc/sh-merrick
SH-Miami,yale,,3,dalaran,sacredheartmiami.org,https://sh-miami.solutiosoftware.com/administrator,tulsa/sh-miami
SH-NewCar,valinor,,3,dalaran,sacredheartnc.net,https://sh-newcar.solutiosoftware.com/administrator,cincinnati/sh-newcar
SH-Nor,thalos,,3,dalaran,heartofjesuscatholic.com,https://sh-nor.solutiosoftware.com/administrator,omaha/sh-nor
SH-Oelwein,thalos,,3,dalaran,www.sacredheartoelwein.com,https://sh-oelwein.solutiosoftware.com/administrator,dubuque/sh-oelwein
SH-OKC,underhill,,3,dalaran,www.sacredheartparishokc.org,https://sh-okc.solutiosoftware.com/administrator,okc/sh-okc
SH-Plain,moria2,Small,3,crystalsong,shcplainville.org,https://sh-plain.solutiosoftware.com/administrator,salina/sh-plain
SH-Prescott,underhill,,3,dalaran,www.sacredheartprescott.com,https://sh-prescott.solutiosoftware.com/administrator,phoenix/sh-prescott
